-BEGIN HEADER-,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,
Dates (month/day/year): 01/01/2020 through 05/31/2025 in LST,,,,,
Location: latitude  -2.9196   longitude -79.0017 ,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2496.1 meters,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,
parameter(s): ,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) ,,,,,
-END HEADER-,,,,,
DATE,T2M,RH2M,WS2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2020-01-01,13.75,84.87,0.76,4.33,13.02
2020-01-02,14.18,87.25,1.23,2.17,14.14
2020-01-03,13.95,88.74,1.28,3.6,13.23
2020-01-04,15.29,83.22,0.65,0.41,17.46
2020-01-05,15.7,79.08,1.01,1.23,13.72
2020-01-06,15.81,77.66,0.98,0.42,15.36
2020-01-07,15.09,83.65,1.79,0,11.79
2020-01-08,14.72,80.68,1.87,0,17.56
2020-01-09,13.47,80.23,2.64,0.18,20.9
2020-01-10,13.05,87.62,2.62,2.35,15.93
2020-01-11,12.87,88.96,2.57,1.36,13.56
2020-01-12,13.25,88.65,2.95,1.55,13.71
2020-01-13,13.56,86.96,2.88,0.7,15.17
2020-01-14,13.53,87.56,2.82,1.04,13.9
2020-01-15,14.02,87.67,2.71,0.21,11.75
2020-01-16,14.04,87.74,3.34,3.68,12.87
2020-01-17,13.78,89.63,4.11,4.06,15.62
2020-01-18,13.13,89.5,4.38,1.76,13.89
2020-01-19,12.65,89.55,3.24,2.58,12.92
2020-01-20,13.63,87.22,1.98,16.45,16.19
2020-01-21,15.38,80.27,1.23,1.75,12.46
2020-01-22,16.44,78.01,0.9,0.21,15.83
2020-01-23,14.62,88.63,0.89,0.27,13.15
2020-01-24,14.92,86.46,1.52,2.89,16.54
2020-01-25,14.11,90.72,1.13,17.85,13.55
2020-01-26,14.98,86.21,1.12,2.99,16.32
2020-01-27,15.44,83.93,1.29,0.55,15.33
2020-01-28,15.69,82.55,0.93,3.04,11.11
2020-01-29,14.42,93.01,0.98,6.27,15.16
2020-01-30,14.62,89.1,1.85,0.6,16.23
2020-01-31,13.73,89.19,2.75,0.69,15.74
2020-02-01,12.75,91.39,2.45,5.81,10.74
2020-02-02,12.93,88,2.11,5.92,14.84
2020-02-03,13.93,85.84,2.24,0.42,15.9
2020-02-04,13.98,82.79,2.03,0.05,17.35
2020-02-05,14.75,85.19,1.71,0,13.04
2020-02-06,15.24,82,1.64,0,18.35
2020-02-07,14.54,85.97,1.75,0.2,13.93
2020-02-08,15.4,86.75,1.3,2.52,14.65
2020-02-09,14.99,90.09,2.08,5.33,16.26
2020-02-10,14.18,88.24,2.98,1.41,13.83
2020-02-11,13.37,83.09,2.57,0,16.09
2020-02-12,14.05,86.45,2.52,4.87,14.09
2020-02-13,14.9,87.32,2.29,1.69,13.67
2020-02-14,15.23,87.92,2.71,1.65,12.67
2020-02-15,14.58,90.39,3.17,3.86,8.46
2020-02-16,13.74,89.36,2.61,2.37,14.3
2020-02-17,14.06,87.65,2.88,0.88,14.71
2020-02-18,14.29,87.87,3.41,0.44,13.74
2020-02-19,15.09,88.62,2.72,1.59,13.33
2020-02-20,15.53,87.97,1.74,0.44,13.95
2020-02-21,15.39,88.2,0.95,8.34,12.38
2020-02-22,15.03,90.95,1.14,7.21,17.57
2020-02-23,14.14,92.72,1.9,7.84,16.29
2020-02-24,15.33,86.31,1.23,1.61,9.55
2020-02-25,15.79,88.78,1.43,5.83,15.14
2020-02-26,15.06,91.07,0.99,9.05,15.96
2020-02-27,14.14,89.79,1.55,16.42,14.43
2020-02-28,14.77,86.42,1.83,2.8,14.59
2020-02-29,14.94,89.62,1.94,0.21,8.07
2020-03-01,14.25,90.23,1.82,2.71,11.53
2020-03-02,14.56,91.51,2.26,3.81,9.7
2020-03-03,14.23,88.75,2.09,0.87,13.07
2020-03-04,15.08,88.88,3.01,1.61,14.06
2020-03-05,14.99,89.79,3.42,2.94,9.68
2020-03-06,14.48,89.15,2.26,1.25,10.2
2020-03-07,15.17,89.3,2.13,5.93,14.19
2020-03-08,15.5,86.48,2.08,1.23,14.28
2020-03-09,15.61,90.08,3.19,1.96,13.78
2020-03-10,14.65,90.11,2.6,1.78,11.44
2020-03-11,14.42,87.87,1.93,3.23,12.82
2020-03-12,14.64,87.81,1.55,2.21,14.46
2020-03-13,14.91,88.09,2.08,10.42,15.71
2020-03-14,14.03,88.09,1.51,4.51,15.13
2020-03-15,15.4,86,1.6,1.44,16.99
2020-03-16,14.85,92.31,1.42,0.33,14.91
2020-03-17,14.21,91.82,1.3,0.12,17.41
2020-03-18,14.52,87.96,1.22,0.02,14.77
2020-03-19,14.88,84.97,1.25,0.01,16.36
2020-03-20,14.94,77.73,1.21,0.01,16.9
2020-03-21,14.96,75.87,0.93,0,21.49
2020-03-22,14.63,75.71,1.13,0.1,18.41
2020-03-23,13.77,87.49,1.83,0.01,16.75
2020-03-24,14.2,84.45,1.98,0.06,17.5
2020-03-25,14.75,86.92,1.69,0.04,14.38
2020-03-26,15.17,85.08,1.31,0,14.75
2020-03-27,15.1,89.45,1.64,0,9.21
2020-03-28,15.22,88.32,2.08,0,13.4
2020-03-29,14.71,89.68,2.61,0,10.5
2020-03-30,13.98,87.48,2.68,0.03,10.24
2020-03-31,13.76,86.11,1.81,0.08,15.41
2020-04-01,14.22,88.27,1.93,15.24,13.91
2020-04-02,12.96,91.43,2.35,34.65,16.36
2020-04-03,12.89,90.02,2.77,2.32,17.68
2020-04-04,13.79,89.9,2.09,5.74,14.85
2020-04-05,14.35,91.32,1.88,11.59,18.13
2020-04-06,14.28,90.45,2.9,1.82,16.36
2020-04-07,14.18,90.05,2.61,4.14,14.1
2020-04-08,13.1,89.73,2.48,3.22,13.35
2020-04-09,12.87,89.24,1.99,1.88,14.19
2020-04-10,14.09,89.31,2.11,1.24,17.76
2020-04-11,14.49,91.41,1.28,4.09,12.08
2020-04-12,13.83,91.97,1.13,12.5,15.43
2020-04-13,14.54,87.84,1.37,2.53,16.9
2020-04-14,14.96,84.48,1,0.06,12.71
2020-04-15,13.97,83.39,1.07,2.81,15.11
2020-04-16,13.69,88.54,1.4,4.19,18.23
2020-04-17,12.07,91.53,1.63,2.33,15.37
2020-04-18,12.06,91.25,2.47,4.71,14.71
2020-04-19,12.2,88.68,2.24,0.42,16.94
2020-04-20,12,83.08,2.02,0,18.93
2020-04-21,12.59,80.33,1.79,0,19.3
2020-04-22,13.06,83.07,1.51,0.47,18.45
2020-04-23,13.89,86.58,1.74,0.57,16.56
2020-04-24,14.24,86.51,1.31,7.78,16.99
2020-04-25,14.62,88.19,1.4,9.42,15.05
2020-04-26,13.76,89.87,2.2,2.88,14.99
2020-04-27,12.57,91.45,2.47,5.34,16.12
2020-04-28,12.55,90.21,2.14,3.71,14.62
2020-04-29,13.35,88.47,2.12,1.48,14.68
2020-04-30,14.13,90.44,2.84,4.73,15.74
2020-05-01,13.51,92.9,3.47,8.66,15.53
2020-05-02,13.03,92.51,3.12,6.23,13.58
2020-05-03,13.59,92.16,2.43,7.45,14.43
2020-05-04,13.05,92.76,2.01,5.5,12.29
2020-05-05,13.85,86.67,1.62,0.72,13.11
2020-05-06,13.68,87.4,1.96,5.17,9.91
2020-05-07,13.24,90.98,2.43,3.42,14.16
2020-05-08,13.16,95.09,3.48,19.66,15.37
2020-05-09,13.46,92.78,3.44,8.75,17.02
2020-05-10,13.89,89.73,2.14,0.11,12.84
2020-05-11,15.07,88.5,1.24,4.39,14.73
2020-05-12,15.17,90.22,0.99,9.12,14.48
2020-05-13,14.04,88.54,0.9,4.94,13.99
2020-05-14,13.91,85.13,1.62,0.92,11.12
2020-05-15,12.69,88.96,2.06,0.13,13.03
2020-05-16,12.93,90.53,3.52,0,12.67
2020-05-17,13.09,90.64,2.82,0.24,14.44
2020-05-18,12.54,90.69,2.09,1.61,14.99
2020-05-19,12.75,91.25,2.48,2.61,10.6
2020-05-20,11.94,89.67,2.56,0.51,16.24
2020-05-21,12.58,90.94,2.41,0.9,12.99
2020-05-22,12.63,90.45,2.45,1.62,13.93
2020-05-23,12.71,90.97,3.08,6.31,14.15
2020-05-24,11.52,90.29,3.29,9.89,13.31
2020-05-25,11.7,91.06,2.78,5.69,14.28
